available,source,error,ts,gpu_name,gpu_index,util_pct,memory_used_mb,memory_total_mb,memory_used_pct,temperature_c,power_w,power_limit_w,power_pct,torch_allocated_mb,torch_reserved_mb,cuda_total_mb,energy_window_wh
True,nvml,,1778942987.5517294,NVIDIA GeForce RTX 3050 Ti Laptop GPU,0,13.0,2622.53,4096.0,64.03,82.0,33.95,0.0,0.0,2349.09,2386.0,4095.5,2.690824
True,nvml,,1778942988.4050317,NVIDIA GeForce RTX 3050 Ti Laptop GPU,0,7.0,2702.53,4096.0,65.98,81.0,33.16,0.0,0.0,2455.25,2466.0,4095.5,2.694795
True,nvml,,1778942989.1996896,NVIDIA GeForce RTX 3050 Ti Laptop GPU,0,4.0,2622.53,4096.0,64.03,81.0,31.75,0.0,0.0,2372.47,2386.0,4095.5,2.698088
True,nvml,,1778942990.0730247,NVIDIA GeForce RTX 3050 Ti Laptop GPU,0,13.0,2702.53,4096.0,65.98,77.0,23.57,0.0,0.0,2455.25,2466.0,4095.5,2.700975
True,nvml,,1778942990.861119,NVIDIA GeForce RTX 3050 Ti Laptop GPU,0,13.0,2702.53,4096.0,65.98,77.0,19.44,0.0,0.0,2339.86,2466.0,4095.5,2.701736
True,nvml,,1778942991.6062655,NVIDIA GeForce RTX 3050 Ti Laptop GPU,0,49.0,2702.53,4096.0,65.98,77.0,18.66,0.0,0.0,2453.09,2466.0,4095.5,2.701882
True,nvml,,1778942992.431048,NVIDIA GeForce RTX 3050 Ti Laptop GPU,0,21.0,2702.53,4096.0,65.98,77.0,17.76,0.0,0.0,2455.25,2466.0,4095.5,2.702567
True,nvml,,1778942993.2535713,NVIDIA GeForce RTX 3050 Ti Laptop GPU,0,44.0,2702.53,4096.0,65.98,77.0,17.77,0.0,0.0,2453.09,2466.0,4095.5,2.703053
True,nvml,,1778942994.0432851,NVIDIA GeForce RTX 3050 Ti Laptop GPU,0,64.0,2702.53,4096.0,65.98,76.0,17.71,0.0,0.0,2455.25,2466.0,4095.5,2.702807
True,nvml,,1778942994.8211653,NVIDIA GeForce RTX 3050 Ti Laptop GPU,0,26.0,2702.53,4096.0,65.98,76.0,17.83,0.0,0.0,2453.09,2466.0,4095.5,2.702882
True,nvml,,1778942995.570059,NVIDIA GeForce RTX 3050 Ti Laptop GPU,0,30.0,2702.53,4096.0,65.98,76.0,17.53,0.0,0.0,2455.25,2466.0,4095.5,2.702609
True,nvml,,1778942996.3714645,NVIDIA GeForce RTX 3050 Ti Laptop GPU,0,27.0,2702.53,4096.0,65.98,76.0,17.43,0.0,0.0,2453.09,2466.0,4095.5,2.702262
True,nvml,,1778942997.186193,NVIDIA GeForce RTX 3050 Ti Laptop GPU,0,38.0,2702.53,4096.0,65.98,76.0,17.73,0.0,0.0,2455.25,2466.0,4095.5,2.701301
True,nvml,,1778942997.9787755,NVIDIA GeForce RTX 3050 Ti Laptop GPU,0,9.0,2702.53,4096.0,65.98,76.0,18.55,0.0,0.0,2453.09,2466.0,4095.5,2.699129
True,nvml,,1778942998.8034005,NVIDIA GeForce RTX 3050 Ti Laptop GPU,0,33.0,2814.53,4096.0,68.71,76.0,18.63,0.0,0.0,2455.25,2466.0,4095.5,2.696013
True,nvml,,1778942999.571131,NVIDIA GeForce RTX 3050 Ti Laptop GPU,0,29.0,2622.53,4096.0,64.03,76.0,18.07,0.0,0.0,2349.24,2386.0,4095.5,2.692942
True,nvml,,1778943000.374469,NVIDIA GeForce RTX 3050 Ti Laptop GPU,0,48.0,2814.53,4096.0,68.71,76.0,17.61,0.0,0.0,2453.09,2466.0,4095.5,2.689998
True,nvml,,1778943001.1795268,NVIDIA GeForce RTX 3050 Ti Laptop GPU,0,65.0,2702.53,4096.0,65.98,76.0,17.52,0.0,0.0,2455.25,2466.0,4095.5,2.687883
True,nvml,,1778943002.0190065,NVIDIA GeForce RTX 3050 Ti Laptop GPU,0,27.0,2702.53,4096.0,65.98,76.0,17.51,0.0,0.0,2453.09,2466.0,4095.5,2.687429
True,nvml,,1778943002.8407702,NVIDIA GeForce RTX 3050 Ti Laptop GPU,0,26.0,2702.53,4096.0,65.98,76.0,17.47,0.0,0.0,2455.25,2466.0,4095.5,2.686827
True,nvml,,1778943003.657785,NVIDIA GeForce RTX 3050 Ti Laptop GPU,0,35.0,2702.53,4096.0,65.98,76.0,17.65,0.0,0.0,2453.09,2466.0,4095.5,2.686967
True,nvml,,1778943004.459284,NVIDIA GeForce RTX 3050 Ti Laptop GPU,0,26.0,2702.53,4096.0,65.98,76.0,17.52,0.0,0.0,2455.25,2466.0,4095.5,2.686954
True,nvml,,1778943005.2962599,NVIDIA GeForce RTX 3050 Ti Laptop GPU,0,26.0,2840.53,4096.0,69.35,76.0,17.84,0.0,0.0,2589.2,2604.0,4095.5,2.687232
True,nvml,,1778943006.1346326,NVIDIA GeForce RTX 3050 Ti Laptop GPU,0,91.0,2704.53,4096.0,66.03,77.0,18.7,0.0,0.0,2453.12,2468.0,4095.5,2.687788
True,nvml,,1778943006.923407,NVIDIA GeForce RTX 3050 Ti Laptop GPU,0,54.0,2626.53,4096.0,64.12,78.0,22.42,0.0,0.0,2374.05,2390.0,4095.5,2.688323
True,nvml,,1778943007.6686122,NVIDIA GeForce RTX 3050 Ti Laptop GPU,0,48.0,2704.53,4096.0,66.03,81.0,32.22,0.0,0.0,2453.12,2468.0,4095.5,2.690179
True,nvml,,1778943008.4846468,NVIDIA GeForce RTX 3050 Ti Laptop GPU,0,0.0,2624.53,4096.0,64.08,81.0,33.46,0.0,0.0,2372.49,2388.0,4095.5,2.693914
True,nvml,,1778943009.2549162,NVIDIA GeForce RTX 3050 Ti Laptop GPU,0,7.0,2704.53,4096.0,66.03,81.0,32.79,0.0,0.0,2455.3,2468.0,4095.5,2.696919
True,nvml,,1778943010.0416598,NVIDIA GeForce RTX 3050 Ti Laptop GPU,0,3.0,2622.53,4096.0,64.03,81.0,31.8,0.0,0.0,2372.49,2386.0,4095.5,2.700067
True,nvml,,1778943010.8870394,NVIDIA GeForce RTX 3050 Ti Laptop GPU,0,13.0,2704.53,4096.0,66.03,78.0,28.97,0.0,0.0,2455.3,2468.0,4095.5,2.703301
True,nvml,,1778943011.6582222,NVIDIA GeForce RTX 3050 Ti Laptop GPU,0,14.0,2816.53,4096.0,68.76,77.0,19.09,0.0,0.0,2455.3,2468.0,4095.5,2.704518
True,nvml,,1778943012.4076724,NVIDIA GeForce RTX 3050 Ti Laptop GPU,0,13.0,2704.53,4096.0,66.03,77.0,18.72,0.0,0.0,2453.12,2468.0,4095.5,2.704369
True,nvml,,1778943013.2225811,NVIDIA GeForce RTX 3050 Ti Laptop GPU,0,27.0,2704.53,4096.0,66.03,76.0,17.92,0.0,0.0,2455.3,2468.0,4095.5,2.704648
True,nvml,,1778943014.0066454,NVIDIA GeForce RTX 3050 Ti Laptop GPU,0,29.0,2704.53,4096.0,66.03,76.0,17.87,0.0,0.0,2453.12,2468.0,4095.5,2.704683
True,nvml,,1778943014.7930038,NVIDIA GeForce RTX 3050 Ti Laptop GPU,0,23.0,2704.53,4096.0,66.03,76.0,17.88,0.0,0.0,2455.3,2468.0,4095.5,2.704774
True,nvml,,1778943015.5965154,NVIDIA GeForce RTX 3050 Ti Laptop GPU,0,37.0,2704.53,4096.0,66.03,76.0,17.84,0.0,0.0,2453.12,2468.0,4095.5,2.704957
True,nvml,,1778943016.372266,NVIDIA GeForce RTX 3050 Ti Laptop GPU,0,65.0,2704.53,4096.0,66.03,76.0,17.8,0.0,0.0,2455.3,2468.0,4095.5,2.705327
True,nvml,,1778943017.1372597,NVIDIA GeForce RTX 3050 Ti Laptop GPU,0,31.0,2592.53,4096.0,63.29,76.0,17.79,0.0,0.0,2453.12,2468.0,4095.5,2.705739
True,nvml,,1778943017.9095998,NVIDIA GeForce RTX 3050 Ti Laptop GPU,0,13.0,2816.53,4096.0,68.76,76.0,18.13,0.0,0.0,2455.3,2468.0,4095.5,2.705652
True,nvml,,1778943018.7055376,NVIDIA GeForce RTX 3050 Ti Laptop GPU,0,28.0,2704.53,4096.0,66.03,76.0,18.71,0.0,0.0,2453.12,2468.0,4095.5,2.704211
True,nvml,,1778943019.4673548,NVIDIA GeForce RTX 3050 Ti Laptop GPU,0,26.0,2816.53,4096.0,68.76,76.0,18.15,0.0,0.0,2455.3,2468.0,4095.5,2.701176
True,nvml,,1778943020.2221344,NVIDIA GeForce RTX 3050 Ti Laptop GPU,0,35.0,2622.53,4096.0,64.03,76.0,17.79,0.0,0.0,2349.12,2386.0,4095.5,2.697268
True,nvml,,1778943020.9870157,NVIDIA GeForce RTX 3050 Ti Laptop GPU,0,18.0,2816.53,4096.0,68.76,76.0,17.39,0.0,0.0,2453.12,2468.0,4095.5,2.694451
