available,source,error,ts,gpu_name,gpu_index,util_pct,memory_used_mb,memory_total_mb,memory_used_pct,temperature_c,power_w,power_limit_w,power_pct,torch_allocated_mb,torch_reserved_mb,cuda_total_mb,energy_window_wh
True,nvml,,1778951405.1712275,NVIDIA GeForce RTX 3050 Ti Laptop GPU,0,4.0,2824.53,4096.0,68.96,83.0,31.97,0.0,0.0,2460.38,2476.0,4095.5,2.805506
True,nvml,,1778951405.9646618,NVIDIA GeForce RTX 3050 Ti Laptop GPU,0,13.0,2824.53,4096.0,68.96,79.0,21.89,0.0,0.0,2460.34,2476.0,4095.5,2.805821
True,nvml,,1778951406.7740493,NVIDIA GeForce RTX 3050 Ti Laptop GPU,0,43.0,2824.53,4096.0,68.96,79.0,19.59,0.0,0.0,2460.37,2476.0,4095.5,2.805898
True,nvml,,1778951407.5576656,NVIDIA GeForce RTX 3050 Ti Laptop GPU,0,46.0,2712.53,4096.0,66.22,78.0,18.12,0.0,0.0,2460.35,2476.0,4095.5,2.805782
True,nvml,,1778951408.3522997,NVIDIA GeForce RTX 3050 Ti Laptop GPU,0,40.0,2712.53,4096.0,66.22,78.0,18.07,0.0,0.0,2460.38,2476.0,4095.5,2.805178
True,nvml,,1778951409.1754012,NVIDIA GeForce RTX 3050 Ti Laptop GPU,0,16.0,2712.53,4096.0,66.22,78.0,18.31,0.0,0.0,2460.35,2476.0,4095.5,2.805352
True,nvml,,1778951409.9617093,NVIDIA GeForce RTX 3050 Ti Laptop GPU,0,14.0,2712.53,4096.0,66.22,78.0,19.1,0.0,0.0,2460.38,2476.0,4095.5,2.805354
True,nvml,,1778951410.797178,NVIDIA GeForce RTX 3050 Ti Laptop GPU,0,19.0,2712.53,4096.0,66.22,78.0,19.21,0.0,0.0,2460.36,2476.0,4095.5,2.805406
True,nvml,,1778951411.6711087,NVIDIA GeForce RTX 3050 Ti Laptop GPU,0,68.0,2824.53,4096.0,68.96,78.0,18.3,0.0,0.0,2460.38,2476.0,4095.5,2.805895
True,nvml,,1778951412.4830146,NVIDIA GeForce RTX 3050 Ti Laptop GPU,0,29.0,2712.53,4096.0,66.22,78.0,17.76,0.0,0.0,2460.36,2476.0,4095.5,2.805453
