available,source,error,ts,gpu_name,gpu_index,util_pct,memory_used_mb,memory_total_mb,memory_used_pct,temperature_c,power_w,power_limit_w,power_pct,torch_allocated_mb,torch_reserved_mb,cuda_total_mb,energy_window_wh
TRUE,nvml,,1778956456,NVIDIA GeForce RTX 3050 Ti Laptop GPU,0,30,2712.53,4096,66.22,78,22.5,0,0,2453.43,2476,4095.5,2.511797
TRUE,nvml,,1778956457,NVIDIA GeForce RTX 3050 Ti Laptop GPU,0,3,2712.53,4096,66.22,78,24.89,0,0,2455.9,2476,4095.5,2.51282
TRUE,nvml,,1778956458,NVIDIA GeForce RTX 3050 Ti Laptop GPU,0,2,2712.53,4096,66.22,77,24.27,0,0,2453.43,2476,4095.5,2.514857
TRUE,nvml,,1778956459,NVIDIA GeForce RTX 3050 Ti Laptop GPU,0,8,2712.53,4096,66.22,77,21.82,0,0,2455.9,2476,4095.5,2.515614
TRUE,nvml,,1778956459,NVIDIA GeForce RTX 3050 Ti Laptop GPU,0,20,2712.53,4096,66.22,76,19.12,0,0,2453.43,2476,4095.5,2.516184
TRUE,nvml,,1778956460,NVIDIA GeForce RTX 3050 Ti Laptop GPU,0,27,2824.53,4096,68.96,76,17.74,0,0,2455.9,2476,4095.5,2.516843
TRUE,nvml,,1778956461,NVIDIA GeForce RTX 3050 Ti Laptop GPU,0,25,2634.53,4096,64.32,76,17.41,0,0,2374.49,2398,4095.5,2.516484
TRUE,nvml,,1778956462,NVIDIA GeForce RTX 3050 Ti Laptop GPU,0,23,2712.53,4096,66.22,76,17.24,0,0,2455.9,2476,4095.5,2.515976
TRUE,nvml,,1778956463,NVIDIA GeForce RTX 3050 Ti Laptop GPU,0,26,2824.53,4096,68.96,76,17.19,0,0,2455.9,2476,4095.5,2.516023
TRUE,nvml,,1778956464,NVIDIA GeForce RTX 3050 Ti Laptop GPU,0,28,2712.53,4096,66.22,76,17.23,0,0,2453.43,2476,4095.5,2.516208
TRUE,nvml,,1778956465,NVIDIA GeForce RTX 3050 Ti Laptop GPU,0,26,2712.53,4096,66.22,76,17.36,0,0,2455.9,2476,4095.5,2.516513
TRUE,nvml,,1778956466,NVIDIA GeForce RTX 3050 Ti Laptop GPU,0,30,2712.53,4096,66.22,76,17.57,0,0,2453.43,2476,4095.5,2.516441
